workcounty,date_part,count
ALLENDALE                                                                  ,2016,400
MCCORMICK                                                                  ,2016,482
BAMBERG                                                                    ,2016,500
ALLENDALE                                                                  ,2019,559
BAMBERG                                                                    ,2019,626
LEE                                                                        ,2016,642
SALUDA                                                                     ,2016,668
HAMPTON                                                                    ,2016,705
MCCORMICK                                                                  ,2019,709
FAIRFIELD                                                                  ,2016,787
BARNWELL                                                                   ,2016,797
BARNWELL                                                                   ,2019,806
ALLENDALE                                                                  ,2018,826
MARLBORO                                                                   ,2019,848
FAIRFIELD                                                                  ,2019,864
MARLBORO                                                                   ,2016,877
SALUDA                                                                     ,2019,909
CALHOUN                                                                    ,2019,945
HAMPTON                                                                    ,2019,1177
UNION                                                                      ,2019,1237
LEE                                                                        ,2019,1257
UNION                                                                      ,2016,1276
CHESTER                                                                    ,2016,1311
CHESTERFIELD                                                               ,2016,1343
MCCORMICK                                                                  ,2018,1405
EDGEFIELD                                                                  ,2016,1434
ABBEVILLE                                                                  ,2016,1470
DILLON                                                                     ,2016,1470
CALHOUN                                                                    ,2016,1492
ABBEVILLE                                                                  ,2019,1559
BAMBERG                                                                    ,2017,1603
CALHOUN                                                                    ,2017,1642
CHESTER                                                                    ,2019,1657
HAMPTON                                                                    ,2018,1665
JASPER                                                                     ,2016,1704
MARION                                                                     ,2016,1736
CLARENDON                                                                  ,2016,1744
MCCORMICK                                                                  ,2017,1776
CALHOUN                                                                    ,2018,1823
MARION                                                                     ,2019,1978
DILLON                                                                     ,2019,2048
BARNWELL                                                                   ,2017,2084
ALLENDALE                                                                  ,2017,2105
EDGEFIELD                                                                  ,2019,2144
MARLBORO                                                                   ,2018,2167
LEE                                                                        ,2017,2208
CLARENDON                                                                  ,2019,2216
SALUDA                                                                     ,2017,2306
MARLBORO                                                                   ,2017,2332
FAIRFIELD                                                                  ,2017,2340
LEE                                                                        ,2018,2346
NEWBERRY                                                                   ,2016,2371
CHESTERFIELD                                                               ,2019,2446
FAIRFIELD                                                                  ,2018,2580
COLLETON                                                                   ,2019,2599
BAMBERG                                                                    ,2018,2676
CHEROKEE                                                                   ,2016,2702
DARLINGTON                                                                 ,2016,2713
UNION                                                                      ,2018,2776
WILLIAMSBURG                                                               ,2016,2797
BARNWELL                                                                   ,2018,2806
GREENWOOD                                                                  ,2016,2879
DARLINGTON                                                                 ,2019,3037
EDGEFIELD                                                                  ,2018,3170
SALUDA                                                                     ,2018,3223
NEWBERRY                                                                   ,2019,3250
CLARENDON                                                                  ,2018,3462
HAMPTON                                                                    ,2017,3525
CHESTER                                                                    ,2017,3546
EDGEFIELD                                                                  ,2017,3603
ABBEVILLE                                                                  ,2018,3675
MARION                                                                     ,2017,3709
CLARENDON                                                                  ,2017,3772
UNION                                                                      ,2017,3844
ORANGEBURG                                                                 ,2019,3848
CHESTERFIELD                                                               ,2017,3886
MARION                                                                     ,2018,3901
ABBEVILLE                                                                  ,2017,3912
ORANGEBURG                                                                 ,2016,3940
WILLIAMSBURG                                                               ,2019,3942
JASPER                                                                     ,2019,4069
GEORGETOWN                                                                 ,2016,4174
SUMTER                                                                     ,2016,4193
CHESTER                                                                    ,2018,4224
CHESTERFIELD                                                               ,2018,4607
KERSHAW                                                                    ,2016,4814
COLLETON                                                                   ,2018,4987
DILLON                                                                     ,2018,5211
WILLIAMSBURG                                                               ,2018,5221
LAURENS                                                                    ,2016,5301
OCONEE                                                                     ,2016,5479
DILLON                                                                     ,2017,5497
CHEROKEE                                                                   ,2019,5512
GREENWOOD                                                                  ,2019,5569
LANCASTER                                                                  ,2016,5627
COLLETON                                                                   ,2016,5634
GEORGETOWN                                                                 ,2019,5643
WILLIAMSBURG                                                               ,2017,5718
LAURENS                                                                    ,2019,5772
KERSHAW                                                                    ,2019,5975
JASPER                                                                     ,2017,6236
SUMTER                                                                     ,2019,6490
DARLINGTON                                                                 ,2017,6855
COLLETON                                                                   ,2017,6998
NEWBERRY                                                                   ,2017,7085
NEWBERRY                                                                   ,2018,7435
DARLINGTON                                                                 ,2018,7442
OCONEE                                                                     ,2019,8055
PICKENS                                                                    ,2016,8136
JASPER                                                                     ,2018,8252
LANCASTER                                                                  ,2019,9243
DORCHESTER                                                                 ,2016,9620
AIKEN                                                                      ,2016,9794
CHEROKEE                                                                   ,2017,9966
DORCHESTER                                                                 ,2019,9966
ORANGEBURG                                                                 ,2018,10173
FLORENCE                                                                   ,2019,10666
FLORENCE                                                                   ,2016,11071
GEORGETOWN                                                                 ,2017,11108
SUMTER                                                                     ,2017,11252
ORANGEBURG                                                                 ,2017,11424
CHEROKEE                                                                   ,2018,11549
GEORGETOWN                                                                 ,2018,11741
AIKEN                                                                      ,2019,12065
GREENWOOD                                                                  ,2017,12728
GREENWOOD                                                                  ,2018,12771
KERSHAW                                                                    ,2017,13600
SUMTER                                                                     ,2018,14145
KERSHAW                                                                    ,2018,14414
ANDERSON                                                                   ,2016,14535
PICKENS                                                                    ,2019,14921
BERKELEY                                                                   ,2016,15471
LANCASTER                                                                  ,2017,15830
OCONEE                                                                     ,2017,15862
LAURENS                                                                    ,2018,15951
OCONEE                                                                     ,2018,16501
LAURENS                                                                    ,2017,16596
ANDERSON                                                                   ,2019,17437
YORK                                                                       ,2016,18214
LANCASTER                                                                  ,2018,18309
BERKELEY                                                                   ,2019,18390
BEAUFORT                                                                   ,2016,18675
BEAUFORT                                                                   ,2019,19210
LEXINGTON                                                                  ,2016,19264
DORCHESTER                                                                 ,2017,19614
HORRY                                                                      ,2016,19816
FLORENCE                                                                   ,2018,19962
DORCHESTER                                                                 ,2018,22209
YORK                                                                       ,2019,22572
AIKEN                                                                      ,2018,23526
AIKEN                                                                      ,2017,23915
LEXINGTON                                                                  ,2019,24484
PICKENS                                                                    ,2017,24798
SPARTANBURG                                                                ,2016,25331
FLORENCE                                                                   ,2017,26258
RICHLAND                                                                   ,2016,27295
HORRY                                                                      ,2019,27443
PICKENS                                                                    ,2018,28690
SPARTANBURG                                                                ,2019,32768
CHARLESTON                                                                 ,2016,33531
RICHLAND                                                                   ,2019,35073
BERKELEY                                                                   ,2017,36579
ANDERSON                                                                   ,2018,37769
BEAUFORT                                                                   ,2018,38897
CHARLESTON                                                                 ,2019,39689
BERKELEY                                                                   ,2018,40620
ANDERSON                                                                   ,2017,44273
BEAUFORT                                                                   ,2017,45375
GREENVILLE                                                                 ,2016,45829
YORK                                                                       ,2017,46366
GREENVILLE                                                                 ,2019,49245
LEXINGTON                                                                  ,2017,49491
HORRY                                                                      ,2017,51181
YORK                                                                       ,2018,51365
HORRY                                                                      ,2018,56657
LEXINGTON                                                                  ,2018,57093
RICHLAND                                                                   ,2017,61724
SPARTANBURG                                                                ,2017,66072
RICHLAND                                                                   ,2018,68445
SPARTANBURG                                                                ,2018,68702
CHARLESTON                                                                 ,2017,80570
CHARLESTON                                                                 ,2018,89938
GREENVILLE                                                                 ,2018,113130
GREENVILLE                                                                 ,2017,114894
